"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При клике на вопрос отображается соответствующий текст ответа","2266","Открывается ответ на вопрос FAQ","tests","2026-09-10","passed","2026-09-10","TestFaq","test_faq","",""
"","2791","Заказ самоката через кнопку header","tests","2026-09-10","passed","2026-09-10","TestOrder","test_order","",""
"При клике на вопрос отображается соответствующий текст ответа","2112","Открывается ответ на вопрос FAQ","tests","2026-09-10","passed","2026-09-10","TestFaq","test_faq","",""
"При клике на вопрос отображается соответствующий текст ответа","2116","Открывается ответ на вопрос FAQ","tests","2026-09-10","passed","2026-09-10","TestFaq","test_faq","",""
"При клике на вопрос отображается соответствующий текст ответа","2665","Открывается ответ на вопрос FAQ","tests","2026-09-10","passed","2026-09-10","TestFaq","test_faq","",""
"При клике на вопрос отображается соответствующий текст ответа","2081","Открывается ответ на вопрос FAQ","tests","2026-09-10","passed","2026-09-10","TestFaq","test_faq","",""
"При клике на вопрос отображается соответствующий текст ответа","2124","Открывается ответ на вопрос FAQ","tests","2026-09-10","passed","2026-09-10","TestFaq","test_faq","",""
"При клике на вопрос отображается соответствующий текст ответа","2232","Открывается ответ на вопрос FAQ","tests","2026-09-10","passed","2026-09-10","TestFaq","test_faq","",""
"","3157","Заказ самоката через кнопку footer","tests","2026-09-10","passed","2026-09-10","TestOrder","test_order","",""
"При клике на вопрос отображается соответствующий текст ответа","2569","Открывается ответ на вопрос FAQ","tests","2026-09-10","passed","2026-09-10","TestFaq","test_faq","",""
"","2072","Логотип Яндекса открывает Дзен в новом окне","tests","2026-09-10","passed","2026-09-10","TestLogo","test_logo","",""
"","677","Логотип Самоката ведёт на главную","tests","2026-09-10","passed","2026-09-10","TestLogo","test_logo","",""
